Nama,Masuk,Keluar,Duration,Coba
GetAllJSON,15:08:34,15:08:34,8.607,6
GetAllJSON,15:08:35,15:08:35,9.325,7
GetAllJSON,15:08:37,15:08:37,10.709,8
GetAllJSON,15:08:38,15:08:38,10.402,9
GetAllJSON,15:08:39,15:08:39,9.553,10
GetAllJSON,15:08:41,15:08:41,10.501,11
GetAllJSON,15:08:42,15:08:42,9.687,12
GetAllJSON,15:08:43,15:08:43,10.013,13
GetAllJSON,15:08:45,15:08:45,9.631,14
GetAllJSON,15:08:46,15:08:46,9.425,15
GetAllJSON,15:08:47,15:08:47,10.951,16
GetAllJSON,15:08:48,15:08:48,8.826,17
GetAllJSON,15:08:50,15:08:50,10.769,18
GetAllJSON,15:08:51,15:08:51,10.496,19
GetAllJSON,15:08:52,15:08:52,11.405,20
GetAllJSON,15:08:54,15:08:54,9.380,21
GetAllJSON,15:08:55,15:08:55,11.043,22
GetAllJSON,15:08:56,15:08:56,9.162,23
GetAllJSON,15:08:58,15:08:58,9.443,24
GetAllJSON,15:08:59,15:08:59,10.966,25
GetAllJSON,15:09:00,15:09:00,15.405,26
GetAllJSON,15:09:02,15:09:02,10.333,27
GetAllJSON,15:09:03,15:09:03,9.560,28
GetAllJSON,15:09:04,15:09:04,10.959,29
GetAllJSON,15:09:05,15:09:05,9.704,30
GetAllPostgreSQL,15:14:13,15:14:13,10.298,1
GetAllPostgreSQL,15:17:25,15:17:25,7.972,2
GetAllPostgreSQL,15:18:03,15:18:03,8.935,3
GetAllPostgreSQL,15:18:04,15:18:04,8.585,4
GetAllPostgreSQL,15:18:06,15:18:06,7.566,5
GetAllPostgreSQL,15:18:08,15:18:08,7.742,6
GetAllPostgreSQL,15:18:09,15:18:09,8.298,7
GetAllPostgreSQL,15:18:10,15:18:10,10.479,8
GetAllPostgreSQL,15:18:12,15:18:12,8.087,9
GetAllPostgreSQL,15:18:13,15:18:13,8.809,10
GetAllPostgreSQL,15:18:15,15:18:15,9.714,11
GetAllPostgreSQL,15:18:16,15:18:16,9.207,12
GetAllPostgreSQL,15:18:17,15:18:17,7.687,13
GetAllPostgreSQL,15:18:19,15:18:19,7.093,14
GetAllPostgreSQL,15:18:20,15:18:20,10.794,15
GetAllPostgreSQL,15:18:22,15:18:22,7.773,16
GetAllPostgreSQL,15:18:23,15:18:23,7.538,17
GetAllPostgreSQL,15:18:24,15:18:24,8.491,18
GetAllPostgreSQL,15:18:26,15:18:26,8.506,19
GetAllPostgreSQL,15:18:27,15:18:27,8.242,20
GetAllPostgreSQL,15:18:29,15:18:29,8.497,21
GetAllPostgreSQL,15:18:30,15:18:30,8.727,22
GetAllPostgreSQL,15:18:31,15:18:31,10.418,23
GetAllPostgreSQL,15:18:33,15:18:33,8.731,24
GetAllPostgreSQL,15:18:34,15:18:34,7.686,25
GetAllPostgreSQL,15:18:35,15:18:35,9.121,26
GetAllPostgreSQL,15:18:36,15:18:36,8.350,27
GetAllPostgreSQL,15:18:38,15:18:38,9.984,28
GetAllPostgreSQL,15:18:39,15:18:39,9.317,29
GetAllPostgreSQL,15:18:41,15:18:41,6.843,30
GetByEmailJSON,14:39:32,14:39:32,9.230,1
GetByEmailJSON,14:39:38,14:39:38,8.909,2
GetByEmailJSON,14:39:39,14:39:39,10.728,3
GetByEmailJSON,14:39:40,14:39:40,10.573,4
GetByEmailJSON,14:39:42,14:39:42,13.440,5
GetByEmailJSON,14:39:43,14:39:43,10.288,6
GetByEmailJSON,14:39:46,14:39:46,12.235,7
GetByEmailJSON,14:39:53,14:39:53,9.978,8
GetByEmailJSON,14:39:54,14:39:54,11.650,9
GetByEmailJSON,14:39:55,14:39:55,11.115,10
GetByEmailJSON,14:39:56,14:39:56,11.901,11
GetByEmailJSON,14:39:57,14:39:57,12.148,12
GetByEmailJSON,14:39:59,14:39:59,13.162,13
GetByEmailJSON,14:40:00,14:40:00,12.191,14
GetByEmailJSON,14:40:01,14:40:01,11.272,15
GetByEmailJSON,14:40:03,14:40:03,11.422,16
GetByEmailJSON,14:40:05,14:40:05,12.044,17
GetByEmailJSON,14:40:07,14:40:07,10.536,18
GetByEmailJSON,14:40:09,14:40:09,10.001,19
GetByEmailJSON,14:40:10,14:40:10,13.017,20
GetByEmailJSON,14:40:11,14:40:11,15.187,21
GetByEmailJSON,14:40:13,14:40:13,12.122,22
GetByEmailJSON,14:40:14,14:40:14,13.952,23
GetByEmailJSON,14:40:17,14:40:17,12.492,24
GetByEmailJSON,14:40:18,14:40:19,11.459,25
GetByEmailJSON,14:40:20,14:40:20,11.197,26
GetByEmailJSON,14:40:21,14:40:21,15.280,27
GetByEmailJSON,14:40:23,14:40:23,10.872,28
